Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,33195,2010,08,19,0.0,1,N
IDCJAC0009,33195,2010,08,20,0.0,1,N
IDCJAC0009,33195,2010,08,21,0.4,1,N
IDCJAC0009,33195,2010,08,22,0.0,1,N
IDCJAC0009,33195,2010,08,23,0.0,1,N
IDCJAC0009,33195,2010,08,24,0.0,1,N
IDCJAC0009,33195,2010,08,25,0.0,1,N
IDCJAC0009,33195,2010,08,26,1.0,1,N
IDCJAC0009,33195,2010,08,27,1.6,1,N
IDCJAC0009,33195,2010,08,28,0.0,1,N
IDCJAC0009,33195,2010,08,29,0.0,1,N
IDCJAC0009,33195,2010,08,30,2.6,1,N
IDCJAC0009,33195,2010,08,31,0.0,1,N
IDCJAC0009,33195,2010,09,01,0.0,1,N
IDCJAC0009,33195,2010,09,02,0.0,1,N
IDCJAC0009,33195,2010,09,03,0.0,1,N
IDCJAC0009,33195,2010,09,04,0.6,1,N
IDCJAC0009,33195,2010,09,05,0.0,1,N
IDCJAC0009,33195,2010,09,06,0.0,1,N
IDCJAC0009,33195,2010,09,07,0.4,1,N
IDCJAC0009,33195,2010,09,08,0.0,1,N
IDCJAC0009,33195,2010,09,09,0.0,1,N
IDCJAC0009,33195,2010,09,10,0.0,1,N
IDCJAC0009,33195,2010,09,11,0.0,1,N
IDCJAC0009,33195,2010,09,12,0.0,1,N
IDCJAC0009,33195,2010,09,13,0.0,1,N
IDCJAC0009,33195,2010,09,14,0.0,1,N
IDCJAC0009,33195,2010,09,15,0.0,1,N
IDCJAC0009,33195,2010,09,16,0.0,1,N
IDCJAC0009,33195,2010,09,17,0.0,1,N
IDCJAC0009,33195,2010,09,18,0.0,1,N
IDCJAC0009,33195,2010,09,19,0.0,1,N
IDCJAC0009,33195,2010,09,20,26.8,1,N
IDCJAC0009,33195,2010,09,21,32.8,1,N
IDCJAC0009,33195,2010,09,22,1.6,1,N
IDCJAC0009,33195,2010,09,23,0.6,1,N
IDCJAC0009,33195,2010,09,24,0.2,1,N
IDCJAC0009,33195,2010,09,25,0.2,1,N
IDCJAC0009,33195,2010,09,26,11.0,1,N
IDCJAC0009,33195,2010,09,27,0.0,1,N
IDCJAC0009,33195,2010,09,28,0.0,1,N
IDCJAC0009,33195,2010,09,29,3.4,1,N
IDCJAC0009,33195,2010,09,30,9.6,1,N
IDCJAC0009,33195,2010,10,01,0.0,1,N
IDCJAC0009,33195,2010,10,02,0.0,1,N
IDCJAC0009,33195,2010,10,03,0.0,1,N
IDCJAC0009,33195,2010,10,04,0.0,1,N
IDCJAC0009,33195,2010,10,05,0.0,1,N
IDCJAC0009,33195,2010,10,06,0.0,1,N
IDCJAC0009,33195,2010,10,07,0.0,1,N
IDCJAC0009,33195,2010,10,08,0.0,1,N
IDCJAC0009,33195,2010,10,09,0.0,1,N
IDCJAC0009,33195,2010,10,10,0.6,1,N
IDCJAC0009,33195,2010,10,11,0.0,1,N
IDCJAC0009,33195,2010,10,12,4.0,1,N
IDCJAC0009,33195,2010,10,13,6.2,1,N
IDCJAC0009,33195,2010,10,14,0.0,1,N
IDCJAC0009,33195,2010,10,15,0.0,1,N
IDCJAC0009,33195,2010,10,16,10.6,1,N
IDCJAC0009,33195,2010,10,17,0.0,1,N
IDCJAC0009,33195,2010,10,18,0.0,1,N
IDCJAC0009,33195,2010,10,19,0.0,1,N
IDCJAC0009,33195,2010,10,20,0.0,1,N
IDCJAC0009,33195,2010,10,21,1.4,1,N
IDCJAC0009,33195,2010,10,22,13.0,1,N
IDCJAC0009,33195,2010,10,23,0.0,1,N
IDCJAC0009,33195,2010,10,24,0.0,1,N
IDCJAC0009,33195,2010,10,25,0.0,1,N
IDCJAC0009,33195,2010,10,26,0.0,1,N
IDCJAC0009,33195,2010,10,27,0.0,1,N
IDCJAC0009,33195,2010,10,28,10.2,1,N
